EventID,Timestamp,Time,Direction,Coord1,Coord2,Direction2,Coord3,Coord4
26550,346145420,1732262923.87364,'Left',100.88961902427984,-134.359085,,,
26551,346153867,1732262923.882041,'Left',97.57333237285819,-136.119659,,,
26552,346162151,1732262923.89129,'Left',93.37747852083469,-138.359589,,,
26553,346170608,1732262923.900122,'Left',89.48714120525106,-140.075119,,,
26554,346179042,1732262923.907201,'Left',84.40237237031279,-142.165314,,,
26555,346187310,1732262923.915754,'Left',78.99591068505875,-144.745636,,,
26556,346195941,1732262923.924591,'Left',74.15740881140779,-147.966446,,,
26557,346204049,1732262923.93258,'Left',70.60991396451384,-149.698944,,,
26558,346212439,1732262923.942531,'Left',68.34638074909905,-151.155563,,,
26559,346221194,1732262923.950162,'Left',63.62472577484276,-153.486557,,,
26560,346229182,1732262923.957375,'Left',57.35947218289929,-155.848755,,,
26561,346237781,1732262923.966961,'Left',51.009603981797945,-158.215607,,,
26562,346246018,1732262923.974839,'Left',44.718829925087356,-160.988083,,,
26563,346254345,1732262923.983158,'Left',40.05684367259498,-163.461487,,,
26564,346262688,1732262923.991189,'Left',37.42317270905079,-165.347885,,,
26565,346271058,1732262924.000213,'Left',34.46404497388855,-167.29097,,,
26566,346279532,1732262924.008107,'Left',31.94891839531163,-169.235031,,,
26567,346287800,1732262924.016386,'Left',29.405726592876505,-171.072617,,,
26568,346296432,1732262924.024895,'Left',26.06175647766941,-172.537415,,,
26569,346304661,1732262924.033607,'Left',23.241840512857518,-173.98288,,,
26570,346313088,1732262924.042367,'Left',20.260500661575154,-175.064636,,,
26571,346321425,1732262924.050002,'Left',18.582568385942857,-175.861084,,,
26572,346329834,1732262924.057775,'Left',16.748265303073314,-177.022293,,,
26573,346338133,1732262924.066552,'Left',14.584831590053147,-177.851074,,,
26574,346346778,1732262924.076515,'Left',13.59719015345743,-178.506027,,,
26575,346354933,1732262924.084206,'Left',12.37629543440555,-179.093872,,,
26576,346363280,1732262924.091364,'Left',11.193798387923987,-179.655014,,,
26577,346371515,1732262924.10065,'Left',10.490339107127854,-180.176895,,,
26578,346380050,1732262924.108588,'Left',9.710630402073637,-180.707642,,,
26579,346388383,1732262924.116721,'Left',9.140785590246095,-181.077866,,,
26580,346396873,1732262924.125862,'Left',8.980171760034008,-181.299423,,,
26581,346405172,1732262924.134577,'Left',8.930358645972415,-181.443359,,,
26582,346413602,1732262924.142122,'Left',8.871347492012976,-181.617325,,,
26583,346421892,1732262924.149898,'Left',8.880000123573186,-181.734375,,,
26584,346430637,1732262924.159213,'Left',8.864937542394077,-181.888702,,,
26585,346438696,1732262924.167133,'Left',8.882309088773546,-181.979965,,,
26586,346446977,1732262924.175337,'Left',8.930607413691051,-182.077499,,,
26587,346455292,1732262924.184966,'Left',9.08402804902651,-182.075058,,,
26588,346463855,1732262924.19288,'Left',9.433423666970324,-182.055328,,,
26589,346472152,1732262924.200847,'Left',9.699536692113295,-181.985397,,,
26590,346480696,1732262924.210391,'Left',10.102874996148287,-181.789612,,,
26591,346489035,1732262924.218385,'Left',10.28145442336088,-181.575912,,,
26592,346497252,1732262924.226121,'Left',10.774918634290843,-181.238388,,,
26593,346505718,1732262924.234253,'Left',11.561977854717611,-180.776825,,,
26594,346514045,1732262924.24257,'Left',12.682908601749789,-179.847702,,,
26595,346522453,1732262924.250858,'Left',14.224512298753439,-178.803238,,,
26596,346531017,1732262924.260401,'Left',15.726942996653095,-178.027008,,,
26597,346539219,1732262924.268818,'Left',17.23635079055396,-176.826935,,,
26598,346547655,1732262924.276104,'Left',19.529561092064807,-175.545349,,,
26599,346555868,1732262924.285024,'Left',22.366217208241103,-174.276489,,,
26600,346564561,1732262924.29357,'Left',24.93776580409475,-172.810638,,,
26601,346572867,1732262924.301319,'Left',27.28415421858751,-171.503082,,,
26602,346581052,1732262924.309396,'Left',30.03247434362259,-170.200958,,,
26603,346589509,1732262924.318879,'Left',33.023343393214276,-168.807404,,,
26604,346597907,1732262924.327051,'Left',36.407655850432434,-167.106201,,,
26605,346606309,1732262924.335901,'Left',38.89436681543296,-165.852142,,,
26606,346615016,1732262924.344406,'Left',40.4252047783827,-164.361435,,,
26607,346623266,1732262924.35274,'Left',43.611937322655336,-162.243576,,,
26608,346631322,1732262924.359891,'Left',49.866258991274066,-159.858521,,,
26609,346639686,1732262924.368453,'Left',57.29668232140813,-157.764862,,,
26610,346648045,1732262924.376716,'Left',63.385430759157614,-155.464645,,,
26611,346656482,1732262924.385292,'Left',66.49030260707977,-153.979965,,,
26612,346665412,1732262924.394179,'Left',68.4784637500702,-152.96283,,,
26613,346673263,1732262924.402013,'Left',70.89773794699774,-151.620178,,,
26614,346681868,1732262924.41139,'Left',74.37290524054842,-149.846054,,,
26615,346690075,1732262924.418616,'Left',78.97452662992431,-147.718384,,,
26616,346698354,1732262924.427549,'Left',83.14168838392725,-145.281738,,,
26617,346706690,1732262924.435308,'Left',87.53104089385967,-143.08046,,,
26618,346715260,1732262924.444428,'Left',93.12055649983108,-140.592896,,,
26619,346723869,1732262924.45329,'Left',98.2288454102946,-138.690262,,,
26620,346731871,1732262924.460806,'Left',104.21911585861032,-136.961472,,,
26621,346740135,1732262924.468609,'Left',108.90626870073535,-135.331482,,,
26622,346748593,1732262924.478248,'Left',115.6270850008939,-133.427612,,,
26623,346756961,1732262924.486311,'Left',121.6954514739768,-131.74855,,,
26624,346765392,1732262924.496115,'Left',127.19135996545441,-129.930801,,,
26625,346773868,1732262924.503555,'Left',133.34231242273978,-128.333771,,,
26626,346782141,1732262924.510763,'Left',137.0664290260053,-126.477509,,,
26627,346790477,1732262924.52061,'Left',140.3968710605585,-124.77652,,,
26628,346798923,1732262924.527666,'Left',143.76587031629785,-123.485336,,,
26629,346807314,1732262924.535512,'Left',146.26079871019064,-122.535431,,,
26630,346815809,1732262924.544467,'Left',148.41830590824165,-121.849579,,,
26631,346824013,1732262924.552378,'Left',151.9115627663911,-121.393311,,,
26632,346832250,1732262924.56058,'Left',153.590171768676,-120.811234,,,
26633,346840852,1732262924.570402,'Left',156.44426610137938,-120.213684,,,
26634,346849331,1732262924.579234,'Left',158.63354367052688,-119.715515,,,
26635,346857847,1732262924.586476,'Left',160.72269343028356,-119.200623,,,
26636,346865794,1732262924.593825,'Left',162.9316779208719,-118.594421,,,
26637,346874594,1732262924.603523,'Left',164.0022326243957,-118.163406,,,
26638,346882581,1732262924.610985,'Left',166.2089581443981,-117.731125,,,
26639,346891150,1732262924.619614,'Left',167.19288943329957,-117.306152,,,
26640,346899456,1732262924.62818,'Left',167.98746082597637,-116.958511,,,
26641,346907805,1732262924.637384,'Left',168.23883758266146,-116.614655,,,
26642,346917028,1732262924.646025,'Left',168.32457310308482,-116.447983,,,
26643,346925011,1732262924.653965,'Left',168.29691896308435,-116.514481,,,
26644,346932982,1732262924.662137,'Left',168.07216220365385,-116.673096,,,
26645,346941428,1732262924.669647,'Left',167.36653446077534,-116.888962,,,
26646,346949837,1732262924.678698,'Left',166.48704944211397,-117.186569,,,
26647,346958022,1732262924.686183,'Left',165.3066126559005,-117.476364,,,
26648,346966903,1732262924.696176,'Left',164.1758752346321,-117.864792,,,
26649,346975207,1732262924.70422,'Left',163.03923867897137,-118.261673,,,
26650,346983246,1732262924.711632,'Left',161.8688530757962,-118.702667,,,
26651,346991557,1732262924.7208,'Left',160.4935877022651,-119.301147,,,
26652,346999952,1732262924.729122,'Left',158.38782091986292,-119.880569,,,
26653,347008350,1732262924.736643,'Left',156.34074071371035,-120.561279,,,
26654,347016704,1732262924.745595,'Left',154.44303774396897,-121.259689,,,
26655,347025133,1732262924.754513,'Left',152.34409663616697,-121.999298,,,
26656,347033819,1732262924.762494,'Left',148.72957028626405,-122.650391,,,
26657,347041875,1732262924.77207,'Left',145.2466617700504,-123.394608,,,
26658,347050283,1732262924.779547,'Left',141.9563198851994,-124.052078,,,
26659,347058665,1732262924.787247,'Left',137.21736045520677,-124.791809,,,
26660,347066916,1732262924.795473,'Left',132.5047819796823,-125.561218,,,
26661,347075315,1732262924.803971,'Left',127.70842639808983,-126.539474,,,
26662,347083853,1732262924.812598,'Left',123.06314881111494,-127.331207,,,
26663,347092030,1732262924.821891,'Left',118.01099523457148,-128.549088,,,
26664,347100509,1732262924.82962,'Left',112.6938388816392,-129.826965,,,
26665,347108910,1732262924.837407,'Left',108.55751483047685,-131.398956,,,
26666,347117236,1732262924.845268,'Left',104.36560278097093,-133.1987,,,
26667,347125713,1732262924.856149,'Left',101.22036412599385,-134.910141,,,
